t,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,arousal,valence
5.7517,0.6344,0.0003,0.2118,0.0001,0.0034,0.1453,0.0047,0.0000,-0.0166,-0.2571
5.7940,0.6837,0.0002,0.1815,0.0001,0.0031,0.1267,0.0046,0.0000,-0.0150,-0.2541
5.8363,0.7559,0.0003,0.1402,0.0001,0.0013,0.1000,0.0022,0.0000,-0.0180,-0.2446
5.8786,0.7694,0.0004,0.1222,0.0002,0.0018,0.0979,0.0082,0.0000,0.0244,-0.2422
5.9209,0.6868,0.0002,0.1677,0.0001,0.0023,0.1369,0.0058,0.0000,0.0111,-0.2595
5.9632,0.5155,0.0005,0.3007,0.0001,0.0034,0.1665,0.0134,0.0000,0.0129,-0.2775
6.0055,0.5082,0.0006,0.3244,0.0002,0.0060,0.1543,0.0064,0.0000,0.0308,-0.2633
6.0478,0.9290,0.0002,0.0472,0.0000,0.0005,0.0203,0.0029,0.0000,0.0151,-0.2697
6.0901,0.9284,0.0002,0.0229,0.0000,0.0006,0.0360,0.0119,0.0000,0.0621,-0.2442
6.1323,0.6736,0.0003,0.2357,0.0005,0.0065,0.0559,0.0274,0.0000,0.0757,-0.2226
6.1746,0.4685,0.0007,0.3794,0.0003,0.0044,0.1262,0.0205,0.0000,0.0493,-0.2572
6.2169,0.4326,0.0004,0.3594,0.0004,0.0048,0.1569,0.0456,0.0000,0.0802,-0.2713
6.2592,0.4522,0.0004,0.3750,0.0002,0.0028,0.1527,0.0167,0.0000,0.0392,-0.2806
6.3015,0.9307,0.0001,0.0507,0.0000,0.0001,0.0099,0.0086,0.0000,-0.0219,-0.2700
6.3438,0.8663,0.0002,0.1010,0.0000,0.0004,0.0190,0.0129,0.0000,-0.0083,-0.2318
6.3861,0.9716,0.0028,0.0151,0.0001,0.0002,0.0060,0.0042,0.0000,0.0218,-0.0872
6.4284,0.8362,0.0008,0.0505,0.0003,0.0013,0.0228,0.0881,0.0000,0.1012,-0.1689
6.4707,0.9742,0.0001,0.0067,0.0000,0.0000,0.0088,0.0102,0.0000,0.0243,-0.1932
6.5130,0.9640,0.0001,0.0167,0.0000,0.0001,0.0117,0.0074,0.0000,0.0151,-0.2521
6.5553,0.7653,0.0005,0.0817,0.0003,0.0040,0.0553,0.0930,0.0000,0.1137,-0.2178
6.5976,0.8330,0.0002,0.1193,0.0001,0.0010,0.0205,0.0259,0.0000,0.0368,-0.2478
6.6398,0.9308,0.0001,0.0413,0.0000,0.0004,0.0140,0.0135,0.0000,0.0241,-0.2590
6.6821,0.8947,0.0003,0.0497,0.0005,0.0074,0.0191,0.0283,0.0000,0.1410,-0.1962
6.7244,0.8508,0.0000,0.1331,0.0000,0.0005,0.0061,0.0094,0.0000,-0.0191,-0.2974
6.7667,0.8225,0.0001,0.1654,0.0001,0.0003,0.0087,0.0029,0.0000,-0.0483,-0.2912
6.8090,0.7127,0.0003,0.2067,0.0003,0.0051,0.0482,0.0268,0.0000,0.0832,-0.2596
6.8513,0.9378,0.0002,0.0503,0.0001,0.0002,0.0100,0.0014,0.0000,-0.0269,-0.2324
6.8936,0.9976,0.0000,0.0006,0.0000,0.0000,0.0009,0.0008,0.0000,0.0413,-0.1484
6.9359,0.9545,0.0001,0.0324,0.0000,0.0004,0.0085,0.0041,0.0000,0.0138,-0.2899
6.9782,0.9715,0.0000,0.0219,0.0000,0.0001,0.0046,0.0019,0.0000,-0.0237,-0.2755
7.0205,0.9885,0.0000,0.0103,0.0000,0.0000,0.0005,0.0006,0.0000,-0.0700,-0.2109
7.0628,0.9569,0.0001,0.0369,0.0000,0.0000,0.0056,0.0005,0.0000,-0.0996,-0.2821
7.1051,0.9456,0.0001,0.0496,0.0000,0.0000,0.0038,0.0009,0.0000,-0.0907,-0.2731
7.1474,0.9794,0.0002,0.0174,0.0000,0.0000,0.0027,0.0003,0.0000,-0.0818,-0.2073
7.1896,0.9201,0.0013,0.0736,0.0000,0.0001,0.0048,0.0002,0.0000,-0.1254,-0.1781
7.2319,0.8666,0.0001,0.1190,0.0001,0.0010,0.0120,0.0012,0.0000,-0.0376,-0.2380
7.2742,0.7924,0.0002,0.1510,0.0002,0.0024,0.0506,0.0032,0.0000,0.0238,-0.2417
7.3165,0.9856,0.0001,0.0054,0.0000,0.0024,0.0061,0.0003,0.0000,0.0196,-0.1041
7.3588,0.9611,0.0003,0.0095,0.0000,0.0039,0.0245,0.0008,0.0000,0.0397,-0.1282
7.4011,0.8294,0.0005,0.0641,0.0000,0.0085,0.0951,0.0023,0.0000,0.0196,-0.2130
7.4434,0.5817,0.0007,0.1922,0.0001,0.0399,0.1731,0.0123,0.0000,0.0535,-0.2216
7.4857,0.7684,0.0003,0.0772,0.0000,0.0178,0.1318,0.0045,0.0000,0.0246,-0.2157
7.5280,0.5629,0.0011,0.2128,0.0000,0.0331,0.1820,0.0082,0.0000,0.0278,-0.2308
7.5703,0.6257,0.0005,0.2068,0.0001,0.0369,0.1223,0.0078,0.0000,0.0419,-0.2275
7.6126,0.8574,0.0002,0.0594,0.0000,0.0025,0.0778,0.0027,0.0000,-0.0091,-0.2371
7.6549,0.7386,0.0003,0.0751,0.0000,0.0035,0.1790,0.0035,0.0000,-0.0067,-0.2457
7.6971,0.7419,0.0007,0.1370,0.0000,0.0256,0.0914,0.0033,0.0000,0.0182,-0.2099
7.7394,0.7020,0.0012,0.1053,0.0000,0.0335,0.1547,0.0033,0.0000,0.0236,-0.2078
7.7817,0.7068,0.0003,0.1130,0.0000,0.0027,0.1724,0.0048,0.0000,-0.0066,-0.2602
7.8240,0.7184,0.0003,0.1285,0.0000,0.0037,0.1443,0.0047,0.0000,0.0040,-0.2590
7.8663,0.2869,0.0003,0.3001,0.0000,0.0335,0.3515,0.0278,0.0000,0.0127,-0.2783
7.9086,0.9986,0.0008,0.0005,0.0000,0.0000,0.0001,0.0000,0.0000,-0.1053,0.0018
7.9509,0.9974,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1497,0.1550
7.9932,0.9928,0.0071,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.1033,0.0775
8.0355,0.9960,0.0011,0.0010,0.0000,0.0000,0.0018,0.0000,0.0000,-0.0185,-0.0202
8.0778,0.9984,0.0013,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0798,0.0217
8.1201,0.9975,0.0005,0.0009,0.0001,0.0001,0.0009,0.0000,0.0000,0.0163,-0.0312
8.1624,0.9998,0.0001,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0795,-0.0627
8.2047,0.9999,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1192,0.0820
