t,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,arousal,valence
6.4730,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.4716
6.5057,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0096,0.5060
6.5384,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0231,0.5331
6.5710,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0164,0.4890
6.6037,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0064,0.5562
6.6364,0.0000,0.9999,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0157,0.4626
6.6691,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0050,0.5296
6.7018,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0060,0.5264
6.7345,0.0001,0.9998,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0368,0.4284
6.7672,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0271,0.5620
6.7999,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0410,0.5782
6.8326,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0417,0.6136
6.8653,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0356,0.6176
6.8980,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0402,0.6210
6.9307,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0663,0.7574
6.9633,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0301,0.7874
6.9960,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0093,0.7148
7.0287,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0115,0.7352
7.0614,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0180,0.7018
7.0941,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0317,0.7605
7.1268,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0437,0.7626
7.1595,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0376,0.7649
7.1922,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0349,0.7524
7.2249,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0455,0.7524
7.2576,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0222,0.7142
7.2903,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0155,0.7201
7.3230,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0181,0.6722
7.3556,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,0.6359
7.3883,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0523,0.5414
7.4210,0.0001,0.9988,0.0000,0.0002,0.0000,0.0000,0.0000,0.0009,0.0897,0.3427
7.4537,0.0002,0.9978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0601,0.3249
7.4864,0.0037,0.9954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0213,0.2961
7.5191,0.0024,0.9962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0394,0.2932
7.5518,0.0038,0.9938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0024,0.0594,0.2539
7.5845,0.0054,0.9932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0693,0.2569
7.6172,0.0036,0.9942,0.0000,0.0008,0.0000,0.0000,0.0000,0.0014,0.1055,0.2487
7.6499,0.0038,0.9902,0.0000,0.0041,0.0000,0.0001,0.0000,0.0018,0.1544,0.2222
7.6826,0.0004,0.9989,0.0000,0.0003,0.0000,0.0000,0.0000,0.0003,0.0788,0.3344
7.7153,0.0001,0.9992,0.0000,0.0001,0.0000,0.0000,0.0000,0.0007,0.0744,0.3605
7.7479,0.0000,0.9991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0743,0.4264
7.7806,0.0000,0.9990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0806,0.4310
7.8133,0.0000,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0620,0.4728
7.8460,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0519,0.4713
7.8787,0.0000,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0401,0.4595
7.9114,0.0000,0.9972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0027,0.1173,0.3166
7.9441,0.0000,0.9972,0.0000,0.0000,0.0000,0.0003,0.0000,0.0024,0.1518,0.2560
7.9768,0.0002,0.9992,0.0000,0.0000,0.0000,0.0002,0.0001,0.0003,0.1510,0.2629
8.0095,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.1834,0.4210
8.0422,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1704,0.5841
